Rider,Run #,Round,Course,Lap 1 time,Lap 2 time,Lap 3 time,Total Time,# of Crashes,# of Bad Landings,"Rider Interferance 1 = a little, 2 = medium, 3 = cause a crash, 0 = no INT",Overheat?,Place,Notes,Records,Final Place ,1st Place Rider,best lap
TR,3,Bronze,5,30.15,29.15,28.96,88.26,0,0,0,n,1,Clean,"Best Time, Best Lap",1,TR,28.96
TR,3,Silver,1,34.6,35.15,34.91,104.66,0,0,0,n,1,Clean,2 Best Time,,,34.6
TR,3,Silver,2,74.65,73.88,,148.53,0,0,0,n,1,Clean,Best Time,,,73.88
TR,3,Silver,3,43.11,40.01,39,122.12,0,0,0,n,1,Clean,"Best Time, Best Lap",,,39
TR,3,Silver,4,62.68,61.41,,124.09,0,1,0,n,1,Nearly Clean,2 Best Time,,,61.41
TR,3,Silver,5,36.73,36.76,35.76,109.25,0,0,1,n,1,"Non Rider INT, Nearly Clean",3 Best Time,1,TR,35.76
TR,3,Gold,1,48.3,54.08,48.43,150.81,1,1,3,n,1,"Bad Non Rider INT, Rider INT, Nearly Clean",,,,48.3
TR,3,Gold,2,86.2,85.25,,171.45,0,0,0,n,1,Clean,"Best Time, Best Lap",,,85.25
TR,3,Gold,3,58.16,59.78,58.4,176.34,0,0,2,n,1,"Non Rider INT, Nearly Clean",Best Time,,,58.16
TR,3,Gold,4,100.3,94.63,,194.93,3,0,3,n,2,"Messy Start, Rider INT, Bad Rider INT, Sloppy Turn",,,,94.63
TR,3,Gold,5,49.15,52.11,47.21,148.47,1,0,3,n,1,"Bad Rider INT, Non Rider INT, Sloppy Turn",,1,TR,47.21
TR,3,Platinum,1,80.76,72.95,,153.71,1,0,3,n,1,"Messy Start, Bad Rider INT, Nearly Clean","3 Best Time, Best Lap",,,72.95
TR,3,Platinum,2,69.16,65.03,64.1,198.29,0,1,0,n,1,Sloppy Turn,,,,64.1
TR,3,Platinum,3,94.6,90.71,,185.31,1,1,2,n,1,"Messy Start, Bad Rider INT (x2), Sloppy Race",,,,90.71
TR,3,Platinum,4,67.6,64.13,62.06,193.79,0,0,2,n,1,"Messy Start, Nearly Clean","2 Best Time, Best Lap",,,62.06
TR,3,Platinum,5,88.26,70.41,,158.67,2,0,3,y,1,"Bad Rider INT (x2), Sloppy Turn",,1,TR,70.41
SH,3,Bronze,1,24.23,22.9,23.61,70.74,0,0,0,n,1,Nearly Clean,"Best Time, Best Lap",,,22.9
SH,3,Bronze,2,65.95,64.33,,130.28,0,0,0,n,1,Clean,"Best Time, Best Lap",,,64.33
SH,3,Bronze,3,40.43,38.95,39.78,119.16,0,0,0,n,1,Nearly Clean,Best Time,,,38.95
SH,3,Bronze,4,56.36,53.6,,109.96,0,0,2,y,1,"Messy Start, Nearly Clean",,,,53.6
SH,3,Bronze,5,30.8,29.68,29.86,90.34,0,0,1,n,1,Nearly Clean,,1,SH,29.68
SH,3,Silver,1,33.85,34.23,35,103.08,0,0,0,n,1,Nearly Clean,"Best Time, Best Lap",,,33.85
SH,3,Silver,2,73.53,73.58,,147.11,0,0,0,n,1,Nearly Clean,Best Time,,,73.53
SH,3,Silver,3,43,40.3,40.73,124.03,0,0,0,n,1,Nearly Clean,2 Best Time,,,40.3
SH,3,Silver,4,63.98,62.66,,126.64,0,0,0,n,1,Sloppy Turn,,,,62.66
SH,3,Silver,5,35.55,35.28,35.46,106.29,0,0,1,n,1,"Rider INT, Clean",Best Time,1,SH,35.28
SH,3,Gold,1,48.56,48.98,47.36,144.9,0,1,1,n,1,"Non Rider INT, Sloppy Turn",,,,47.36
SH,3,Gold,2,93.53,89.35,,182.88,2,1,0,n,1,Sloppy Race,,,,89.35
SH,3,Gold,3,57.56,64.41,56.9,178.87,1,0,0,n,1,"Sloppy Turn, Clean",Best Lap,,,56.9
SH,3,Gold,4,87.36,85.38,,172.74,0,1,0,n,1,Nearly Clean,3 Best Time,,,85.38
SH,3,Gold,5,55.86,46.8,46.66,149.32,1,0,3,n,1,"Messy Start, Nearly Clean",,1,SH,46.66
SH,3,Platinum,1,80.25,74.66,,154.91,0,0,0,n,1,Sloppy Turn,,,,74.66
SH,3,Platinum,2,63.75,63.9,69.21,196.86,1,0,3,n,1,"Bad Non Rider INT, Sloppy Race",,,,63.75
SH,3,Platinum,3,92.08,82.75,,174.83,1,1,0,n,1,Sloppy Turn,,,,82.75
SH,3,Platinum,4,72.51,71.9,63.05,207.46,2,0,3,n,1,"Horrible Rider INT (x2), Bad Rider INT, Nearly Clean Otherwise",,,,63.05
SH,3,Platinum,5,79.1,67.55,,146.65,1,0,0,n,1,"Sloppy Turn, Clean",Best Lap,1,SH,67.55
BM,3,Bronze,1,24.85,23.08,22.68,70.61,0,0,0,n,1,Clean,"Best Time, Best Lap",,,22.68
BM,3,Bronze,2,65.88,69.26,,135.14,0,0,0,n,1,Sloppy Turn,,,,65.88
BM,3,Bronze,3,40.81,38.51,39.88,119.2,0,0,0,n,1,Nearly Clean,"2 Best Time, Best Lap",,,38.51
BM,3,Bronze,4,54.33,54.03,,108.36,0,0,0,n,1,Clean,Best Time,,,54.03
BM,3,Bronze,5,30.53,28.91,30.86,90.3,0,0,0,n,1,Sloppy Turn,Best Lap,1,BM,28.91
BM,3,Silver,1,36.36,38.13,36.86,111.35,0,0,1,n,2,Nearly Clean,,,,36.36
BM,3,Silver,2,74.96,74.3,,149.26,0,2,0,n,1,Nearly Clean,,,,74.3
BM,3,Silver,3,49.6,45.56,44.35,139.51,3,0,3,n,2,"Sloppy Race, Rider INT (x1)",,,,44.35
BM,3,Silver,4,77.16,71.6,,148.76,4,0,3,n,4,"Sloppy Race, Maybe worst ever, Bad INT (x1)",,,,71.6
BM,3,Silver,5,39.81,36.3,35,111.11,0,0,1,n,2,Sloppy Turn,,1,BM,35
BM,3,Gold,1,52.98,47.95,49.95,150.88,0,0,1,n,1,Nearly Clean,,,,47.95
BM,3,Gold,2,100.68,87.6,,188.28,1,1,3,n,2,Sloppy Turn,,,,87.6
BM,3,Gold,3,76.55,61.8,62.15,200.5,2,0,3,n,2,"Bad Rider INT, Sloppy Race",,,,61.8
BM,3,Gold,4,85.08,85.16,,170.24,0,0,0,n,1,Nearly Clean,2 Best Time,,,85.08
BM,3,Gold,5,47.58,54.96,48.95,151.49,1,0,3,n,2,"Bad Non Rider INT, Nearly Clean",,1,BM,47.58
BM,3,Platinum,1,74.95,74.5,,149.45,0,1,0,n,1,Nearly Clean,Best Time,,,74.5
BM,3,Platinum,2,64.98,65.03,64.95,194.96,0,0,0,n,1,Nearly Clean,3 Best Time,,,64.95
BM,3,Platinum,3,92.78,95.91,,188.69,3,0,0,n,2,Sloppy Race,,,,92.78
BM,3,Platinum,4,79.65,70.45,63.23,213.33,2,2,0,n,2,Sloppy Turn,,,,63.23
BM,3,Platinum,5,74.46,72.73,,147.19,0,0,0,n,1,Sloppy Turn,,1,BM,72.73
